fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.64,0.6086956521739131,0.5833333333333334,0.6923076923076923,0.6354889093022426,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.44,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.4385290096535146,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.8,0.8181818181818182,1.0,0.6363636363636364,0.7977240352174656,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.45,0.5217391304347826,0.6666666666666666,0.2727272727272727,0.42640143271122083,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.44,0.5333333333333333,0.6666666666666666,0.23076923076923078,0.3922322702763681,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.68,0.7008071562304972,0.8044444444444444,0.5745454545454545,0.6745147389456081,4,0.001,8
MEAN,TEST,0.608,0.6104404291360812,0.6606060606060605,0.5582417582417583,0.5945000692066422,4,0.001,8
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.72,0.7407407407407407,0.8333333333333334,0.6153846153846154,0.716114874039433,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.782608695652174,1.0,0.5454545454545454,0.7385489458759964,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.55,0.47058823529411764,0.4444444444444444,0.6363636363636364,0.5318160234783105,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.56,0.35294117647058826,0.25,0.8461538461538461,0.45993310550389993,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.64,0.6086956521739131,0.6363636363636364,0.6428571428571429,0.6396021490668313,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.6900000000000001,0.6834623526964354,0.76,0.6290909090909091,0.6837626392307323,4,0.001,8
MEAN,TEST,0.648,0.5988606070447503,0.6272727272727272,0.667032967032967,0.6242731779327357,4,0.001,8
1,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.65,0.5333333333333333,0.4444444444444444,0.8181818181818182,0.6030226891555273,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.44,0.3,0.25,0.6153846153846154,0.3922322702763681,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,8,0.001,0,0,8,resize_small_hu_m300_1400_separadas
