fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
3,TEST,0.56,0.6451612903225806,0.8333333333333334,0.3076923076923077,0.5063696835418333,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.6470588235294118,0.9166666666666666,0.15384615384615385,0.3755338080994054,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.72,0.9,0.4,0.6000000000000001,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.68,0.6923076923076923,0.8181818181818182,0.5714285714285714,0.6837634587578277,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.66,0.6864408848207475,0.8022222222222222,0.5345454545454545,0.6477565749058087,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.5760000000000001,0.623096037422413,0.7636363636363637,0.4065934065934066,0.534812017421933,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.9,0.8888888888888888,0.8888888888888888,0.9090909090909091,0.8989331499509894,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6666666666666666,0.8888888888888888,0.36363636363636365,0.5685352436149611,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.48,0.48,0.5,0.46153846153846156,0.4803844614152614,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.76,0.7857142857142857,0.9166666666666666,0.6153846153846154,0.7510676161988108,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.6,0.6,0.6,0.6,0.6,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.76,0.6666666666666666,0.5454545454545454,0.9285714285714286,0.7116835718867666,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.6900000000000001,0.7044444444444444,0.7866666666666666,0.610909090909091,0.6844667623052657,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.608,0.5573852813852813,0.5424242424242425,0.6626373626373627,0.5859779588915867,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.85,0.8421052631578947,0.8888888888888888,0.8181818181818182,0.8528028654224418,8,0.001,0.0,0.0,8,resize_small_hu_m300_1400_separadas
