fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,TEST,0.56,0.5217391304347826,0.5,0.6153846153846154,0.5547001962252291,0.5897435897435896,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.5,0.5,0.5555555555555556,0.45454545454545453,0.502518907629606,0.5353535353535354,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.4,0.21052631578947367,0.16666666666666666,0.6153846153846154,0.32025630761017426,0.5192307692307692,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6161616161616161,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,TEST,0.48,0.5185185185185185,0.5833333333333334,0.38461538461538464,0.47366546671567095,0.4743589743589744,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,0.6060606060606061,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,0.7051282051282052,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.631578947368421,0.6,0.7,0.648074069840786,0.68,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.84,0.8181818181818182,0.8181818181818182,0.8571428571428571,0.8374357893586238,0.9155844155844155,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.6799999999999999,0.6736842105263158,0.72,0.649090909090909,0.682050226689913,0.6471111111111112,4,0.001,8
MEAN,TEST,0.584,0.5417931565849187,0.546969696969697,0.6175824175824176,0.5653140750260094,0.6408091908091909,4,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,0.7676767676767677,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,0.6025641025641025,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.65,0.5882352941176471,0.5555555555555556,0.7272727272727273,0.6356417261637283,0.606060606060606,4,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
