fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.65,0.6956521739130435,0.8888888888888888,0.45454545454545453,0.6356417261637282,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
2,TEST,0.56,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.5547001962252291,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.8,0.8181818181818182,1.0,0.6363636363636364,0.7977240352174656,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
3,TEST,0.84,0.8571428571428571,1.0,0.6923076923076923,0.8320502943378437,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
4,VALIDATION,0.6,0.5,0.4444444444444444,0.7272727272727273,0.5685352436149611,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
4,TEST,0.56,0.56,0.5833333333333334,0.5384615384615384,0.560448538317805,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
5,VALIDATION,0.75,0.7619047619047619,0.8,0.7,0.7483314773547882,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
5,TEST,0.68,0.6,0.5454545454545454,0.7857142857142857,0.6546536707079771,4,0.001,1e-05,0,8,resize_small_hu_m600_1500_separadas
MEAN,VALIDATION,0.72,0.7151477507999247,0.8044444444444444,0.6490909090909092,0.7108525469116624,4,0.001,8
MEAN,TEST,0.664,0.6648042328042328,0.7257575757575758,0.6032967032967033,0.6543433653291878,4,0.001,8
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
1,TEST,0.64,0.6896551724137931,0.8333333333333334,0.46153846153846156,0.6201736729460423,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
2,TEST,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,4,0.001,1e-05,0.3,8,resize_small_hu_m600_1500_separadas
